Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
24 inches N2455 pro nvision 100hz ips white & black (white),10458,best seller,18.000,74345.00,2.000,8200.00,2464.67,63680.33,54400.00,9280.33,14.57%,2169.40
24 inches N2455 pro nvision 100hz ips white & black (wholesale),10243,best seller,3.000,13490.00,0.000,0.00,0.00,13490.00,0.00,13490.00,100.00%,0.00
24 inches nvision n2488,10082,Monitors & TV,15.000,55491.00,0.000,0.00,658.27,54832.73,50850.00,3982.73,7.26%,0.00
24 ports tenda gigabit 1000mpbs,10173,Network Accessories,1.000,3900.00,0.000,0.00,0.00,3900.00,2900.00,1000.00,25.64%,351.00
24 PORTS TP-LINK GIGABIT SWITCH HUB TL-SG1024D (22470M3003380),11821,Network Accessories,1.000,4500.00,0.000,0.00,0.00,4500.00,0.00,4500.00,100.00%,0.00
25 inch s2515 led ips 100hz nvision (black),10403,Monitors & TV,1.000,5599.00,0.000,0.00,559.90,5039.10,3900.00,1139.10,22.61%,458.10
25 inch s2515 led ips 100hz nvision (white),10402,Monitors & TV,3.000,13499.00,0.000,0.00,449.90,13049.10,11700.00,1349.10,10.34%,445.40
256 HKC SHADOWING SSD (DISCOUNT),10030,Ssd & storage,1.000,1650.00,0.000,0.00,0.00,1650.00,0.00,1650.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0148),11839,Ssd & storage,2.000,2300.00,0.000,0.00,0.00,2300.00,0.00,2300.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0152),11835,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0153),11836,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0154),11837,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0155),11838,Ssd & storage,1.000,1180.00,0.000,0.00,0.00,1180.00,0.00,1180.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0176),11834,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0177),11831,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0179),11843,Ssd & storage,1.000,1180.00,0.000,0.00,0.00,1180.00,0.00,1180.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0180),11833,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0341),12177,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0342),12168,Ssd & storage,1.000,1150.00,0.000,0.00,0.00,1150.00,0.00,1150.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0343),12166,Ssd & storage,1.000,1180.00,0.000,0.00,0.00,1180.00,0.00,1180.00,100.00%,0.00
256 HKC SHADOWING SSD (SKSRX256019Z0344),12167,Ssd & storage,1.000,1180.00,0.000,0.00,0.00,1180.00,0.00,1180.00,100.00%,0.00
256 M.2 SSD RAMSTA (DISCOUNT),10209,Ssd & storage,19.000,28210.00,0.000,0.00,50.00,28160.00,18452.20,9707.80,34.47%,0.00
256GB M.2 2280 SSD HKC (DISCOUNT),10255,Ssd & storage,21.000,29136.00,0.000,0.00,0.00,29136.00,15749.44,13386.56,45.95%,0.00
256GB M.2 NVME SSD ORICO (DISCOUNT),10891,Ssd & storage,1.000,2299.00,0.000,0.00,0.00,2299.00,0.00,2299.00,100.00%,0.00
256GB M.2 NVME SSD ORICO (RJB422608SA00673),11034,Ssd & storage,1.000,1900.00,0.000,0.00,0.00,1900.00,1145.62,754.38,39.70%,0.00
256GB M.2 NVME SSD ORICO (RJB5031701C00502),11032,Ssd & storage,2.000,3800.00,0.000,0.00,0.00,3800.00,2291.24,1508.76,39.70%,0.00
256GB M.2 NVME SSD ORICO (RJB5031701C00509),11745,Ssd & storage,1.000,1900.00,0.000,0.00,0.00,1900.00,0.00,1900.00,100.00%,0.00
256GB M.2 NVME SSD ORICO (RJB5031701C00516),11743,Ssd & storage,1.000,1835.00,0.000,0.00,0.00,1835.00,0.00,1835.00,100.00%,0.00
256GB M.2 NVME SSD ORICO (RJB5031701C00545),11746,Ssd & storage,1.000,1500.00,0.000,0.00,0.00,1500.00,0.00,1500.00,100.00%,0.00
256GB M.2 NVME SSD ORICO (RJB5031701C00547),11744,Ssd & storage,1.000,1500.00,0.000,0.00,0.00,1500.00,0.00,1500.00,100.00%,0.00
